hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
669_3015,2,3015599.244484153,669610.649243969,25.0,MODERATE
669_3016,2,3016420.701716777,669582.8985128503,25.0,MODERATE
669_3028,5,3028540.7983288923,669256.6441073478,62.5,HIGH
670_3017,2,3017053.69080289,670732.2859604547,25.0,MODERATE
670_3028,2,3028955.73317427,670195.4276811848,25.0,MODERATE
670_3029,3,3029401.0306153907,670784.2238809078,37.5,MODERATE
670_3062,1,3062488.8544514403,670956.2605041158,12.5,LOW
671_3028,2,3028960.213561507,671624.3721894983,25.0,MODERATE
671_3063,1,3063671.950542349,671465.7341957574,12.5,LOW
674_3029,1,3029415.317478978,674658.7467378627,12.5,LOW
675_3028,1,3028348.924765526,675649.4964247171,12.5,LOW
675_3029,1,3029580.915725369,675043.8018283497,12.5,LOW
676_3015,1,3015778.698244064,676826.945544773,12.5,LOW
676_3016,1,3016859.7334867967,676866.5673506941,12.5,LOW
676_3028,1,3028084.8222095203,676771.7909144596,12.5,LOW
676_3029,1,3029204.989794291,676316.0654141203,12.5,LOW
677_3016,1,3016665.7285340717,677078.3982015722,12.5,LOW
677_3017,3,3017067.7785828672,677210.1996340493,37.5,MODERATE
677_3028,1,3028575.3622398525,677484.824110442,12.5,LOW
